feature,mean_abs_shap
X167,0.003989342648123066
X171,0.003977039131967099
X126,0.0037943450117528706
X114,0.003773179962363414
X42,0.0035349572644816462
X82,0.0033749836871841228
X178,0.003360430040897922
X57,0.003234312073832562
X140,0.003105431559498378
X71,0.0030709606737955226
X169,0.0029689376664367474
X8,0.0028892332988542857
X35,0.002880481276439774
X119,0.002776527650911259
X129,0.0027561129268648967
